,Unnamed: 0_x,var1,var2,cluster_x,Unnamed: 0_y,cluster_y
21,4857,49.0244881,-123.06915349999998,0,121.0,4.0
97,2694,49.1709535,-123.1824399,0,71.0,7.0
133,7659,49.1763527,-123.1318255,0,199.0,7.0
140,7652,49.0416362,-123.0830145,0,198.0,4.0
142,4581,49.1774901,-123.1292862,0,111.0,7.0
147,4572,49.2106257,-123.0923821,0,109.0,7.0
213,3971,49.197361,-123.178806,0,100.0,7.0
220,3293,49.0904674,-123.0790855,0,76.0,4.0
241,4323,49.1917274,-123.0808548,0,105.0,7.0
262,1200,49.1872412,-123.1316835,0,30.0,7.0
315,3840,49.1780886,-123.12745420000002,0,96.0,7.0
326,1167,49.1784334,-123.121667,0,29.0,7.0
349,4888,49.1736004,-123.14758909999998,0,122.0,7.0
385,932,49.1343339,-123.0651422,0,21.0,4.0
388,935,49.1717889,-123.13592340000002,0,22.0,7.0
393,927,49.1711386,-123.1360519,0,20.0,7.0
472,958,49.1644702,-123.1361623,0,221.0,7.0
495,6316,49.09087879999999,-123.0833668,0,163.0,4.0
535,4676,49.1326485,-123.0915094,0,114.0,4.0
551,5108,49.2047372,-123.1308338,0,126.0,7.0
565,6524,49.0419035,-123.0853223,0,171.0,4.0
576,6532,49.035275,-123.08849740000002,0,172.0,4.0
578,6533,49.03515150000001,-123.088867,0,173.0,4.0
636,1933,49.172236,-123.1358351,0,52.0,7.0
709,5135,49.1911367,-123.1142145,0,233.0,7.0
716,6049,49.0311535,-123.0691973,0,154.0,4.0
719,6047,49.03306729999999,-123.0692551,0,153.0,4.0
737,38,49.1330103,-123.0955358,0,1.0,4.0
738,37,49.1327053,-123.09918590000002,0,0.0,4.0
752,8136,49.0255218,-123.0675202,0,212.0,4.0
757,5133,49.1881812,-123.1116797,0,128.0,7.0
794,3501,49.0906097,-123.0802207,0,84.0,4.0
803,6546,49.1855406,-123.1080009,0,240.0,7.0
845,6551,49.1732885,-123.1465196,0,176.0,7.0
850,5116,49.2121488,-123.1409022,0,127.0,7.0
863,6242,49.0585182,-122.3788725,1,160.0,2.0
911,1225,49.0530329,-122.3170562,1,31.0,2.0
928,3520,49.0584965,-122.3808116,1,85.0,2.0
958,3726,49.13267370000001,-122.3388665,1,229.0,2.0
1043,3729,49.132705,-122.3390044,1,91.0,2.0
1054,6430,49.0502826,-122.3175498,1,167.0,2.0
1064,3529,49.0587782,-122.3795062,1,228.0,2.0
1089,3594,49.0562149,-122.380711,1,88.0,2.0
1093,6153,49.0268333,-122.2660017,1,237.0,2.0
1217,7562,49.04445020000001,-122.2217322,1,195.0,2.0
1222,7556,49.1294146,-122.3186475,1,194.0,2.0
1518,1134,49.035414,-122.2663773,1,28.0,2.0
1599,8084,49.0505874,-122.324938,1,209.0,2.0
1643,5221,49.2662294,-122.77697109999998,2,135.0,6.0
1664,5232,49.2472107,-122.8935137,2,137.0,3.0
1694,6093,49.135356,-122.8430621,2,156.0,0.0
1708,6082,49.133789,-122.8406633,2,155.0,0.0
1709,5269,49.189941,-122.8471754,2,138.0,6.0
1717,6097,49.1381113,-122.8449545,2,157.0,0.0
1796,5920,49.212557,-122.9192842,2,148.0,3.0
1830,5801,49.2373483,-122.8529856,2,145.0,6.0
1836,5806,49.2332102,-122.8521201,2,146.0,6.0
1895,2637,49.185694700000006,-122.801637,2,68.0,6.0
1905,3473,49.189306,-122.8026622,2,83.0,6.0
1992,5511,49.2790508,-122.8292606,2,141.0,6.0
1996,5936,49.137448,-122.8912035,2,149.0,0.0
2005,5943,49.2734,-122.7884457,2,150.0,6.0
2058,687,49.251496,-122.8966693,2,218.0,3.0
2080,7439,49.2005315,-122.9182651,2,191.0,3.0
2095,7462,49.2738174,-122.79244479999998,2,192.0,6.0
2115,568,49.2723413,-122.789067,2,14.0,6.0
2143,657,49.2275482,-122.8370119,2,16.0,6.0
2147,7572,49.1916811,-122.8233993,2,196.0,6.0
2167,1085,49.1861186,-122.8474382,2,25.0,6.0
2168,1084,49.1863895,-122.8474565,2,24.0,6.0
2170,7168,49.2746568,-122.7909967,2,186.0,6.0
2191,1121,49.18863029999999,-122.802229,2,27.0,6.0
2196,1116,49.189893100000006,-122.8035637,2,26.0,6.0
2201,903,49.1468811,-122.8910518,2,19.0,0.0
2223,822,49.26190310000001,-122.8906425,2,219.0,3.0
2263,7319,49.2756694,-122.7944127,2,189.0,6.0
2271,7335,49.2758814,-122.7909785,2,190.0,6.0
2318,296,49.2457903,-122.8916363,2,6.0,3.0
2361,8166,49.2787696,-122.7976283,2,214.0,6.0
2378,8058,49.1876258,-122.8459699,2,207.0,6.0
2420,7768,49.1583928,-122.7802234,2,203.0,0.0
2444,469,49.2018963,-122.9126506,2,10.0,3.0
2470,337,49.2539596,-122.7388737,2,216.0,6.0
2540,4576,49.2129995,-122.9211009,2,110.0,3.0
2551,1700,49.25249,-122.898259,2,225.0,3.0
2563,6619,49.1611807,-122.8913021,2,179.0,0.0
2569,6612,49.15824110000001,-122.7820519,2,178.0,0.0
2579,1455,49.1903678,-122.80469,2,224.0,6.0
2582,1452,49.12737,-122.8452404,2,35.0,0.0
2604,1504,49.255495,-122.74668090000002,2,39.0,6.0
2605,1503,49.2566232,-122.7471301,2,38.0,6.0
2608,3736,49.23398140000001,-122.8626888,2,92.0,6.0
2616,6762,49.1576414,-122.8907428,2,180.0,0.0
2658,3599,49.2492559,-122.8670655,2,89.0,6.0
2661,6289,49.18690460000001,-122.8005383,2,238.0,6.0
2662,6287,49.1869381,-122.8000621,2,162.0,6.0
2696,6539,49.2534148,-122.7397591,2,174.0,6.0
2699,6542,49.2563016,-122.7482111,2,175.0,6.0
2765,4492,49.2778963,-122.7936486,2,106.0,6.0
2873,4716,49.2672796,-123.1131132,3,117.0,1.0
2906,4732,49.2269711,-123.1287459,3,118.0,7.0
2941,4194,49.3264332,-123.1392875,3,103.0,1.0
3059,4987,49.2778449,-123.1276301,3,124.0,1.0
3118,4939,49.2761557,-123.1281645,3,123.0,1.0
3143,4619,49.3124327,-123.08221,3,113.0,1.0
3187,4289,49.2846234,-123.125267,3,232.0,1.0
3194,4617,49.3125664,-123.0822132,3,112.0,1.0
3232,7012,49.26316920000001,-123.1205957,3,184.0,1.0
3301,7221,49.2914917,-123.1352004,3,187.0,1.0
3369,6660,49.2630818,-123.1264173,3,241.0,1.0
3441,7856,49.2815936,-123.1237542,3,204.0,1.0
3467,7738,49.2819109,-123.1135011,3,200.0,1.0
3472,7748,49.2802104,-123.1311973,3,202.0,1.0
3510,8121,49.286882,-123.1420929,3,211.0,1.0
3520,8157,49.233313,-123.1173462,3,213.0,7.0
3540,8012,49.281185,-123.13222749999998,3,205.0,1.0
3584,7485,49.2637211,-123.1347841,3,193.0,1.0
3655,7591,49.3242115,-123.10397890000002,3,197.0,1.0
3692,5672,49.3262139,-123.1359438,3,143.0,1.0
3816,5347,49.285939,-123.1265796,3,139.0,1.0
3841,5201,49.3078523,-123.04095490000002,3,133.0,1.0
3926,6408,49.263427,-123.1396262,3,166.0,1.0
3943,6327,49.2572846,-123.12698190000002,3,164.0,1.0
3959,6224,49.282833,-123.1154195,3,159.0,1.0
4019,6512,49.2869324,-123.1246607,3,170.0,1.0
