,var1,var2,cluster
4325,49.1958638,-123.07800879999999,0
5887,49.1706498,-123.1326433,0
5886,49.1642937,-123.1353047,0
3453,49.1917282,-123.08405249999998,0
3450,49.08992620000001,-123.04479840000002,0
3318,49.08908710000001,-123.08420559999999,0
2379,49.20707410000001,-123.1342324,0
3320,49.1257333,-123.1828199,0
3321,49.1266442,-123.1818811,0
3449,49.172308,-123.1332139,0
3448,49.1723097,-123.1324388,0
7419,49.1856845,-123.1294413,0
3447,49.1713722,-123.13500859999999,0
5537,49.172846899999996,-123.1361738,0
6878,49.0380546,-123.0978325,0
2398,49.1917591,-123.1203155,0
3446,49.1713632,-123.1356091,0
4845,49.12666110000001,-123.1904825,0
4846,49.126659100000005,-123.1906415,0
4847,49.125645299999995,-123.18592209999998,0
4848,49.1250402,-123.185123,0
4857,49.0244881,-123.06915349999998,0
1374,49.1808304,-123.13417779999999,0
6924,49.1874942,-123.1315748,0
5572,49.170467200000004,-123.1382203,0
5573,49.171943799999994,-123.13444109999999,0
6925,49.1874965,-123.1302133,0
6896,49.0714695,-123.0190822,0
5536,49.164207299999994,-123.13637309999999,0
5535,49.1667757,-123.1339187,0
5534,49.1668778,-123.1338885,0
723,49.1948151,-123.1769118,0
724,49.196034499999996,-123.1771649,0
725,49.1957016,-123.1769158,0
2316,49.090501700000004,-123.0803528,0
5525,49.178677,-123.131809,0
5526,49.1784624,-123.1299646,0
5527,49.178463799999996,-123.12987450000001,0
1469,49.1709566,-123.1815568,0
7470,49.182730799999995,-123.13620300000001,0
2757,49.15491779999999,-123.12577720000002,0
2756,49.154684700000004,-123.12578459999999,0
2755,49.1872471,-123.1242174,0
2754,49.1867038,-123.1241844,0
2753,49.187473700000005,-123.1239547,0
5528,49.178472,-123.12961409999998,0
744,49.2037107,-123.13752279999999,0
2751,49.1721,-123.1327263,0
1456,49.1933933,-123.1794707,0
5889,49.17041079999999,-123.1404738,0
5888,49.171274100000005,-123.1340558,0
6830,49.170000099999996,-123.1377348,0
5529,49.17763789999999,-123.1282432,0
5530,49.1775012,-123.12958909999999,0
5531,49.177509,-123.12980990000001,0
7445,49.125026500000004,-123.1808942,0
5532,49.1778825,-123.1305288,0
5533,49.1678375,-123.1361509,0
7388,49.177943299999995,-123.1217643,0
722,49.195321899999996,-123.17810220000001,0
5575,49.184484000000005,-123.13808619999999,0
5576,49.187324,-123.12957820000001,0
1339,49.1944125,-123.1818168,0
1338,49.1947944,-123.18202190000001,0
3336,49.154137,-123.12329309999998,0
1334,49.182473,-123.1340904,0
1333,49.1872734,-123.1286192,0
4405,49.1749071,-123.0721936,0
858,49.1981773,-123.13655459999998,0
1332,49.2028492,-123.13558570000001,0
1331,49.187435799999996,-123.1107711,0
4406,49.1764283,-123.07144650000001,0
