,var1,var2,cluster
149,49.137448,-122.89120349999999,0
62,49.0478089,-122.78492820000001,0
63,49.044654,-122.7772023,0
64,49.0451866,-122.77813470000001,0
203,49.158392799999994,-122.78022340000001,0
67,49.10485,-122.8028182,0
73,49.0326388,-122.801449,0
35,49.12737,-122.84524040000001,0
60,49.0375485,-122.80093290000002,0
179,49.1611807,-122.89130209999999,0
178,49.158241100000005,-122.78205190000001,0
119,49.0459218,-122.78215379999999,0
227,49.04636970000001,-122.80168130000001,0
19,49.1468811,-122.89105179999999,0
231,49.119330100000006,-122.8235877,0
180,49.157641399999996,-122.89074280000001,0
61,49.0452315,-122.7786492,0
161,49.1057505,-122.8021287,0
155,49.133789,-122.84066329999999,0
156,49.135356,-122.8430621,0
9,49.10555479999999,-122.74024709999999,0
157,49.1381113,-122.84495449999999,0
193,49.2637211,-123.1347841,1
81,49.268201,-123.14861880000001,1
80,49.2681518,-123.1463206,1
79,49.2681152,-123.1595834,1
77,49.3210825,-123.0956321,1
75,49.2627174,-123.1000189,1
72,49.283843700000006,-123.1053674,1
197,49.3242115,-123.10397890000002,1
69,49.2799326,-123.13025220000002,1
200,49.2819109,-123.1135011,1
142,49.2610518,-123.24822350000001,1
66,49.28183189999999,-123.1234128,1
143,49.3262139,-123.1359438,1
152,49.2637937,-123.1399831,1
151,49.3359055,-123.0376105,1
147,49.2637686,-123.16326140000001,1
90,49.285503999999996,-123.11881499999998,1
187,49.2914917,-123.1352004,1
166,49.263427,-123.13962620000001,1
94,49.288292,-123.14005,1
124,49.2778449,-123.1276301,1
159,49.282833000000004,-123.1154195,1
123,49.276155700000004,-123.1281645,1
170,49.2869324,-123.1246607,1
133,49.3078523,-123.04095490000002,1
158,49.2638501,-123.1448497,1
117,49.2672796,-123.1131132,1
113,49.3124327,-123.08221,1
93,49.254194,-123.2360217,1
112,49.3125664,-123.0822132,1
103,49.326433200000004,-123.1392875,1
102,49.2544914,-123.1012783,1
101,49.2634282,-123.11702369999999,1
99,49.275089200000004,-123.12275829999999,1
139,49.285939,-123.12657959999999,1
98,49.26428,-123.17229250000001,1
97,49.26307979999999,-123.11606359999999,1
164,49.2572846,-123.12698190000002,1
177,49.3200814,-123.0702446,1
184,49.26316920000001,-123.1205957,1
74,49.285769,-123.12470490000001,1
58,49.263742799999996,-123.2104101,1
36,49.253994,-123.23535459999998,1
33,49.324062299999994,-123.10878020000001,1
32,49.279065700000004,-123.0999382,1
222,49.3244571,-123.1076419,1
223,49.2623856,-123.0570115,1
226,49.2883458,-123.1404577,1
230,49.27975120000001,-123.12352620000001,1
232,49.2846234,-123.125267,1
235,49.2802313,-123.1103114,1
13,49.290772499999996,-123.13407820000002,1
12,49.291387,-123.13501640000001,1
11,49.2634241,-123.11731280000001,1
241,49.263081799999995,-123.1264173,1
5,49.2875631,-123.129718,1
4,49.325981,-123.14233670000002,1
