,name,0,count
2008,White Spot,26,26
1353,Pizza Hut,21,21
538,Freshii,20,20
181,Boston Pizza,18,18
1154,Nando's,14,14
313,Chopped Leaf,11,11
240,Cactus Club Cafe,11,11
410,Denny's,11,11
1092,Milestones,5,5
1277,Peaceful Restaurant,5,5
1163,Neptune Chinese Kitchen,5,5
1294,Pho 99,4,4
102,Banana Leaf,4,4
1852,The Old Spaghetti Factory,4,4
1807,The Chopped Leaf,4,4
420,Dinesty Dumpling House,4,4
1835,The Keg,4,4
457,Earl's,4,4
154,Big Star Sandwich Co.,4,4
399,De Dutch,4,4
406,Deer Garden Signatures,4,4
1432,Ricky's,4,4
207,Browns Socialhouse,4,4
1258,Panago Pizza,4,4
352,Cora,4,4
1339,Phở Hòa,4,4
1248,Pacific Poke,4,4
1901,Togo Sushi,4,4
1118,Montana's,3,3
1278,Pearl Castle Cafe,3,3
660,Hapa Izakaya,3,3
211,Bubble World,3,3
1418,Red Robin,3,3
222,Burgoo,3,3
437,Donair Town,3,3
539,Freshslice Pizza,3,3
1664,Sushi Garden,3,3
737,Icy Bar,3,3
735,IHOP,3,3
1689,Sushi Mori,3,3
458,Earls,3,3
1454,Rogue Kitchen & Wetbar,3,3
174,Boiling Point,3,3
206,Browns Social House,3,3
1063,Meat & Bread,3,3
1661,Sushi California,3,3
1782,Thai Son Restaurant,3,3
934,La Taqueria,3,3
400,De Dutch Pannekoek House,3,3
1776,Thai Basil,3,3
1351,Pizza Factory,3,3
1922,Tractor,3,3
1326,Pho Tau Bay,3,3
1313,Pho Japolo,3,3
1205,Nuba,3,3
501,Fatburger,3,3
1804,The Captain's Boil,3,3
1640,Sun Sui Wah Seafood Restaurant,2,2
955,Lee Yuen Seafood Restaurant,2,2
683,Heirloom,2,2
1453,Rodney's Oyster House,2,2
1236,Original Joe's,2,2
1237,Original Joe's Restaurant & Bar,2,2
917,L'OTUS Cake Boutique,2,2
1194,Nook,2,2
1241,Osaka Sushi,2,2
908,Kung Fu Noodle,2,2
1953,Umami Sushi,2,2
1943,TurF,2,2
1433,Ricky's All Day Grill,2,2
1671,Sushi House,2,2
687,Heritage Asian Eatery,2,2
1905,Tokyo Joe's,2,2
1891,Tian Shi Fu Restaurant,2,2
1206,O Sushi,2,2
1930,Triple O’s,2,2
1929,Triple O's,2,2
705,Hon's Wonton House,2,2
468,Ebisu,2,2
699,Hokkaido Ramen Santouka,2,2
935,La Taqueria Pinche Taco Shop,2,2
171,Bob Likes Thai Food,2,2
1921,Townhall Public House,2,2
1350,Pizza,2,2
929,La Mezcaleria,2,2
1691,Sushi Mura,2,2
906,Kuma,2,2
1678,Sushi King House,2,2
1822,The Flying Pig,2,2
753,Indochine Kitchen + Bar,2,2
762,Italian Tomato,2,2
765,J's Pizza,2,2
381,Dae-Ji Cutlet House,2,2
1803,The Canadian Brewhouse & Grill,2,2
304,China Lan Lanzhou Beef Noodle,2,2
1800,The Buffet,2,2
310,Chongqing,2,2
1797,The Boathouse Restaurant,2,2
1739,Tacofino,2,2
784,Jang Mo Jib Korean Restaurant,2,2
1358,Pizzeria Ludica,2,2
1775,Thai Away Home,2,2
336,Colony,2,2
805,Johnny Rockets,2,2
803,Joe's Grill,2,2
799,Jinya Ramen Bar,2,2
1763,Tasty Indian Bistro,2,2
282,Chef Hung Taiwanese Beef Noodle,2,2
1293,Pho 777 Vietnamese Restaurant,2,2
402,Deacon's Corner,2,2
1865,The Reef,2,2
210,Bubble Waffle Cafe,2,2
214,Buddha-full,2,2
215,Bufala,2,2
1684,Sushi Mania,2,2
436,Donair Spot,2,2
892,Kokoro Tokyo Mazesoba,2,2
232,C-Lovers Fish & Chips,2,2
1411,Ramen Koika,2,2
1696,Sushi Oyama,2,2
1291,Pho 37,2,2
1406,Ramen Danbo,2,2
1269,Pasta Polo,2,2
1854,The Pantry,2,2
408,Delicious Pho,2,2
1842,The Little Donkey,2,2
1285,Pepper Lunch,2,2
267,Cattle Cafe,2,2
1836,The Keg Steakhouse + Bar,2,2
1193,Noodlebox,2,2
348,Copa Cafe,2,2
1034,Manzo Japanese Restaurant,2,2
661,Happy Day Cafe,2,2
537,FreshSlice Pizza,2,2
980,Liuyishou Hotpot,2,2
1116,Momo Sushi,2,2
2018,Wings,2,2
667,Happy Tree House BBQ,2,2
1045,Marutama Ra-men,2,2
616,Green Lemongrass,2,2
1980,Vij's,2,2
1017,Mahek Restaurant & Lounge,2,2
1981,Village Sushi,2,2
2013,Wild Tale,2,2
1983,Virtuous Pie,2,2
2044,Yolks,2,2
73,Asa Sushi,2,2
1167,Neptune Wonton Noodle,2,2
1166,Neptune Seafood Restaurant,2,2
1165,Neptune Express,2,2
2065,Zeitoon,2,2
1560,Shizen Ya,2,2
1505,Salty's Fish & Chips,2,2
1568,Silver Dragon Restaurant,2,2
1523,Sapporo Kitchen,2,2
2059,Zaika Tastes of India,2,2
1601,Sopra Sotto,2,2
2021,Wok Box,2,2
113,Bao Down,2,2
1077,Memphis Blues BBQ House,2,2
976,Little Saigon,2,2
1135,Mui Garden,2,2
1183,Nikko Sushi,2,2
2025,X-Site Grill & Bistro,2,2
117,Barcelos,2,2
1971,Vera's Burger Shack,2,2
1075,Memory Corner,2,2
1464,Round Table Pizza,2,2
128,Beijiang Restaurant,2,2
495,Famoso Neapolitan Pizzeria,2,2
121,Basil Pasta Bar,2,2
1516,Sandwich Tree,1,1
1388,Prospect Point Cafe,1,1
1517,Sandy La Chinese Restaurant,1,1
1398,Racebook,1,1
1512,Samurai,1,1
1387,Prince Chinese Seafood Restaurant,1,1
1390,Public House,1,1
1399,Rad on Denman,1,1
1386,Primo's Mexican Grill,1,1
1385,Primerose,1,1
1384,Prestons Restaurant + Lounge,1,1
1400,Raga,1,1
1383,Preference,1,1
1382,Prabu Sweets,1,1
1389,Provence Marinaside,1,1
1507,Sambal Coconut Malaysian Szechuan Cuisine,1,1
1506,Salty's Fish and Chips,1,1
1392,Pudgie's Pizza & Pasta,1,1
1393,Punje Spice Indian Restaurant,1,1
1511,Samsoonie Noodle & Rice,1,1
1380,Potter's Garden,1,1
1513,Samurai Sushi on Fraser,1,1
1395,RIB & CHICKEN,1,1
1514,San Remo Pizza,1,1
1510,Sammy J's Grill & Bar,1,1
1397,Ra Sushi,1,1
1515,Sanbo Chinese Restaurant,1,1
1391,Published on Main,1,1
1396,RV's Butter Kitchen,1,1
1509,Sammy J's,1,1
1508,Sammy J Pepper's,1,1
1394,RE-UP BBQ,1,1
1381,Poultry in Motion,1,1
1459,Rorimomo,1,1
1518,Sango,1,1
1379,Potluck Hawker Eatery,1,1
1362,Po Kong,1,1
1361,Plum Garden,1,1
1529,Scallion's Bistro,1,1
1360,Plateau Pizza,1,1
1530,Scan-Delicious,1,1
1359,Planet India Restaurant,1,1
1531,Schnitzelhaus Restaurant,1,1
1532,Schnitzelz,1,1
1533,Scoozis,1,1
1534,Sea Fortune Restaurant,1,1
1357,Pizzeria Barbarella,1,1
1535,Sea Harbour Seafood restaurant,1,1
1536,Sehmi,1,1
1356,Pizza64,1,1
1537,Seiza Japanese Cuisine,1,1
1355,Pizza Spot,1,1
1354,Pizza Knight,1,1
1538,Sekai,1,1
1352,Pizza Farina,1,1
1539,Senova,1,1
1540,Seorae Korean BBQ,1,1
1363,Poco Sushi,1,1
1364,Point Grill,1,1
1365,Pokay,1,1
1373,Pondok,1,1
1519,Sango Japanese Restaurant,1,1
1378,Poseidon Greek Restaurant,1,1
1520,Sanpoutei Ramen,1,1
1521,Sansho,1,1
1522,Sapphire Bistro,1,1
1377,Portobello,1,1
1524,Saravanaa Bhavan (South Indian),1,1
1376,Porto Fino Express,1,1
1374,Poor Italian,1,1
1525,Saray Turkish Cuisine,1,1
1366,Poke Bar,1,1
1526,Sarpanch Sweets & Restaurant,1,1
1372,Pomegranate,1,1
1371,Polly Pokinos Gourmet Wings,1,1
1527,Save On Meats,1,1
1370,Polito's Latin Café,1,1
1528,Sawasdee Thai Restaurant,1,1
1369,Pokey Okey,1,1
1368,Poke Time,1,1
1367,Poke Five,1,1
1375,Porthole Steveston,1,1
1497,Saigon Xua,1,1
1401,Ragazzi Pizza Co.,1,1
1472,Royal Tandoori,1,1
1437,Ricky's Country Restaurant,1,1
1467,Roy's Indian,1,1
1468,Royal Fortune Szechuan Restaurant,1,1
1469,Royal Nepalese Momo Palace,1,1
1470,Royal Seafood Restaurant,1,1
1471,Royal Seoul House,1,1
1436,Ricky's Cafe,1,1
1435,Ricky's COUNTRY - Restaurant -,1,1
1434,Ricky's Bar & Grill,1,1
1473,Rozzini's,1,1
1439,Ricky’s Country Restaurant,1,1
1474,Rue 909 Sushi,1,1
1431,Rickshaw Chinese Food,1,1
1430,Richmond Sushi,1,1
1429,Richmond Night Market,1,1
1475,Rumpus Room,1,1
1428,Rib & Chicken,1,1
1476,Rustique Bistro,1,1
1477,Rusty's Pub,1,1
1478,Ryan's Chinese Restaurant,1,1
1438,Rickys All Day Burger,1,1
1466,Roundel Café,1,1
1426,Revel Room,1,1
1450,Robba Da Matti,1,1
1457,Romer's,1,1
1456,Romano's Pizza,1,1
1455,Rokku Asian Cuisine,1,1
1460,Rosa's Cucina Italiana,1,1
1461,Rose Garden Seafood Restaurant,1,1
1452,Rocky Mountain Flatbread Co.,1,1
1462,Rose Persian Cuisine,1,1
1463,Roseland Restaurant,1,1
1451,Rocky Mountain Flatbread,1,1
1449,Roadside Spicy Pot,1,1
1440,Riddim & Spice,1,1
1448,Roadrunner Restaurant,1,1
1447,Riya's Pizza,1,1
1465,Round-Up Cafe,1,1
1446,Rivers Restaurant,1,1
1445,RiverHouse,1,1
1444,River Chinese Cuisine,1,1
1443,Rise & Noodle,1,1
1442,Rio Brazilian Steakhouse,1,1
1441,Rio Brazilian Steak House,1,1
1427,Rhinofish Noodle Bar,1,1
1479,Ryuu,1,1
1504,Salsa and Agave Mexican Grill,1,1
1407,Ramen Gaoh,1,1
1494,Sai Woo,1,1
1413,Ramen Sanpachi,1,1
1495,Saigon By Night,1,1
1412,Ramen Raijin,1,1
1496,Saigon City,1,1
1410,Ramen Kobo,1,1
1409,Ramen Hachi,1,1
1408,Ramen Gojiro,1,1
1458,Romers Burger Bar,1,1
1498,Saison,1,1
1415,Ramie's Greek Restaurant,1,1
1405,Rajio Japanese Public House,1,1
1499,Sake Maki Sushi,1,1
1500,Saku,1,1
1404,Raisu,1,1
1501,Sal y Limon,1,1
1403,Rainbow Butterfly,1,1
1502,Sala Thai,1,1
1503,Salam Bombay,1,1
1402,Raglan’s Bistro,1,1
1414,Ramen Takanotsume,1,1
1416,Raviolino,1,1
1480,Ryuu Izakaya,1,1
1486,SMK Smokery + Bar,1,1
1425,Restaurant Yugo,1,1
1424,Restaurant 62,1,1
1423,Rendezvous Restaurant Mt Lehman,1,1
1481,S&L,1,1
1482,S&W Pepper House,1,1
1483,S+L Kitchen & Bar,1,1
1422,Redbud Restaurant,1,1
1484,S2 Cafe House,1,1
1485,SMAK,1,1
1487,SUSHI SAMA,1,1
1493,Saffron Indian Cuisine,1,1
1488,Sabai Thai Restaurant,1,1
1421,Red Umbrella Cafe,1,1
1420,Red Tuna,1,1
1489,Sabra Kosher Bakery & Restaurant,1,1
1490,Sadies Lunchworks,1,1
1419,Red Star Seafood Restaurant,1,1
1491,Safari Grill,1,1
1492,Safari Snack House,1,1
1417,Red Ginger,1,1
0,0755 Restaurant & Lounge,1,1
1311,Pho Hue,1,1
1349,Pita Pit,1,1
1162,Neptune BBQ House,1,1
1178,Newton Beef Noodle,1,1
1177,New Town Bakery & Restaurant,1,1
1176,New Town Bakery,1,1
1175,New Saigon Vietnamese Cuisine,1,1
1174,New Ruby Restaurant,1,1
1173,New Passage To India,1,1
1172,New Novelty Restaurant,1,1
1171,New Mitzie's Restaurant,1,1
1170,New Mandarin Seafood Restaurant,1,1
1169,New Bhaia Sweet Shop and Restaurant,1,1
1168,Nero Belgian Waffle Bar,1,1
1164,Neptune Club Sports Bar & Grill,1,1
1161,Nelly's Grill,1,1
1180,Nice Cafe,1,1
1160,Nektar's Pizza and Greek food,1,1
1159,Naruto Sushi,1,1
1158,Narita Sushi,1,1
1157,Napoletana,1,1
1156,Nandos Chicken,1,1
1155,Nando's Chicken,1,1
1153,Namoo Sushi,1,1
1152,Nammos Estiatorio,1,1
1151,Nam San,1,1
1150,Nam Nam Noodle,1,1
1149,Naka Bistro Lao & Thai Cuisine,1,1
1148,Nahm Thai Bistro,1,1
1179,Nha Trang Restaurant,1,1
1181,Nicolelina's Cafe,1,1
1146,Nabebugyo Hot Pot Cuisine,1,1
1199,North Burnaby Wonton House,1,1
1213,Octopus Garden,1,1
1212,Ocean Village Seafood Restaurant,1,1
1211,Ocean Park Pizza & Steakhouse,1,1
1210,Ocean Park Pizza & Steak house,1,1
1209,Ocean Park Pizza,1,1
1208,Oca Pastificio,1,1
1207,O'Neills Home Cooking,1,1
1204,Nu Sushi Bar,1,1
1203,Nozomi Sushi,1,1
1202,Novo Pizzeria & Winery,1,1
1201,Notch8,1,1
1200,Northern Style Chinese Restaurant,1,1
1198,Nori,1,1
1182,Nightingale,1,1
1197,Nordel Sushi,1,1
1196,Nordel Pan Pizza & Chaat House,1,1
1195,Nook Restaurant,1,1
1192,Noodle Road,1,1
1191,Nobu,1,1
1190,No. 9 Restaurant,1,1
1189,No. 1 Beef Noodle,1,1
1188,Nishiki Sushi Bar,1,1
1187,Nishi Restaurant,1,1
1186,Nirvana Restaurant,1,1
1185,Ninkazu Japanese Restaurant,1,1
1184,Nikkyu Japanese Restaurant,1,1
1147,Nagano Sushi,1,1
1145,Na-Re Korean Kitchen,1,1
1348,Pink Peppercorn Seafood House,1,1
1098,Minerva,1,1
1110,Miyako Sushi,1,1
1109,Miyagi Sushi,1,1
1108,Mixxbao Taiwanese Fusion,1,1
1107,Mission Junction Sushi,1,1
1106,Mission Hills Sushi,1,1
1105,Mirchi,1,1
1104,Mirch Masala,1,1
1103,Mirai Sushi,1,1
1102,Mio Japan,1,1
1101,Minori Sushi,1,1
1100,Minoas Greek Taverna,1,1
1099,Ming & Sing Chinese Express,1,1
1097,Minato Japanese Restaurant,1,1
1112,Moby Dick,1,1
1096,Minami Yaletown,1,1
1095,Milssam Tacorea,1,1
1094,Milkcow Cafe,1,1
1093,Milk & Sugar BBQ Bar,1,1
1091,Miku,1,1
1090,Miko Sushi,1,1
1089,Migoto sushi,1,1
1088,Midori Japanese Restaurant,1,1
1087,Midam Cafe,1,1
1086,Midam,1,1
1085,Michi Craft Kitchen,1,1
1084,Mi Casa Mexicana,1,1
1111,MoMo Sushi,1,1
1113,Moki's Pizza,1,1
1144,NY's Indian Grill & Bar,1,1
1130,Mr. Japanese Curry,1,1
1143,N.S.C.S. Discovery Café,1,1
1142,My Chau Restaurant,1,1
1141,My BBQ Hut,1,1
1140,Murasaki,1,1
1139,Mumbai Masala,1,1
1138,Mumbai Local,1,1
1137,Mui Ngo Gai,1,1
1136,Mui Kee Chicken Pot,1,1
1134,Mucho Burrito,1,1
1133,Mt. Fuji,1,1
1132,Mr. Tonkatsu,1,1
1131,Mr. Pei Restaurant,1,1
1129,Mr Pickwick's Fish & Chips,1,1
1114,Moltaqa,1,1
1128,Mr Mikes Steakhouse & Bar,1,1
1127,Mr India Meats & Restaurant,1,1
1126,Moxies Bar & Grill,1,1
1125,Moxie's Grill Bar,1,1
1124,Moxie's Grill & Bar,1,1
1123,Motomachi Shokudo,1,1
1122,Morak Korean Restaurant,1,1
1121,Moon Sushi,1,1
1120,Montgomery's Cottage Lunch,1,1
1119,Montanas Cookhouse,1,1
1117,Mongo Bongo Mongolian Grill,1,1
1115,Momiji Japanese Cuisine,1,1
1214,Oeb Breakfast Co.,1,1
1215,Oh! Zzhu Sam Korean Restaurant,1,1
1216,Oka-San Kitchen,1,1
1302,Pho Edmonds,1,1
1315,Pho Khanh,1,1
1314,Pho Khang,1,1
1312,Pho Hung,1,1
1542,Sfinaki Greek Taverna,1,1
1310,Pho Hong Restaurant,1,1
1309,Pho Hong,1,1
1308,Pho Hoa Noodle Soup,1,1
1307,Pho Haven,1,1
1306,Pho Han Restaurant,1,1
1305,Pho Goodness,1,1
1304,Pho Garden,1,1
1303,Pho Express,1,1
1301,Pho Duy Vietnamese Restaurant,1,1
1317,Pho Long Restaurant,1,1
1300,Pho Chung Nam Restaurant,1,1
1299,Pho Century Fine Vietnamese Cuisine,1,1
1298,Pho Central,1,1
1297,Pho An Nam,1,1
1296,Pho Abbotsford #1,1,1
1295,Pho 99 Vietnamese Noodle House,1,1
1292,Pho 51,1,1
1290,Pho 24 Express,1,1
1289,Pho,1,1
1288,Phnom Penh Restaurant,1,1
1287,Per Se Social Corner,1,1
1286,Pepperoni Cafe,1,1
1316,Pho Lan Beef Noodle Soup,1,1
1318,Pho Noodle House,1,1
1217,Okonomi Sushi,1,1
1334,Phoenix Garden,1,1
1347,Pink Elephant Thai Restaurant,1,1
1346,Pink Elephant Thai,1,1
1345,Pinch of Spice,1,1
1344,Pierre's,1,1
