,var1,var2,cluster
1145,49.279574,-123.12281709999999,0
826,49.2918566,-123.134615,0
827,49.2801028,-123.11812069999999,0
828,49.2809297,-123.1246212,0
830,49.2874551,-123.1289336,0
831,49.268237899999995,-123.1860064,0
832,49.282677899999996,-123.1060827,0
833,49.287918700000006,-123.1404351,0
834,49.256029999999996,-123.11488700000001,0
835,49.2792456,-123.11686029999998,0
836,49.2495635,-123.10125120000001,0
837,49.2499187,-123.1012388,0
840,49.248639700000005,-123.100827,0
841,49.2766479,-123.12567460000001,0
842,49.2996655,-123.1338483,0
824,49.276004,-123.0996219,0
844,49.2486124,-123.1252499,0
846,49.248523799999994,-123.1255358,0
848,49.2465842,-123.10102579999999,0
849,49.2861606,-123.1242068,0
850,49.289079799999996,-123.1326293,0
852,49.2784435,-123.1143287,0
853,49.2823168,-123.1239578,0
854,49.328156400000005,-123.07257820000001,0
855,49.327948299999996,-123.07242520000001,0
856,49.3279098,-123.07242250000002,0
857,49.32787570000001,-123.07242250000002,0
858,49.3271092,-123.07243940000001,0
859,49.326798700000005,-123.07244879999999,0
860,49.32672410000001,-123.0724511,0
861,49.326667799999996,-123.0724511,0
845,49.248523,-123.1254837,0
823,49.275519,-123.099626,0
822,49.275541499999996,-123.09961070000001,0
821,49.2852511,-123.11863909999998,0
771,49.2756158,-123.1151739,0
772,49.262296899999996,-123.09585679999999,0
773,49.3101509,-123.0828896,0
774,49.238654100000005,-123.12982190000001,0
1810,49.2799722,-123.1253119,0
776,49.2799326,-123.13025220000002,0
778,49.277574,-123.1318508,0
779,49.2828492,-123.1158635,0
780,49.263597100000005,-123.12812439999999,0
1808,49.2853939,-123.11140159999998,0
784,49.28706470000001,-123.1128287,0
785,49.2812088,-123.13197340000002,0
786,49.2820205,-123.12044540000001,0
787,49.2820098,-123.1080325,0
788,49.281993299999996,-123.1079737,0
792,49.2830665,-123.11262250000001,0
793,49.2841885,-123.11392120000001,0
820,49.2841852,-123.09774009999998,0
819,49.284329299999996,-123.0955163,0
817,49.28028270000001,-123.1012535,0
816,49.2420422,-123.1011291,0
815,49.2540725,-123.2359295,0
814,49.26313029999999,-123.22133670000001,0
862,49.2813956,-123.13370890000002,0
813,49.2647912,-123.22803629999999,0
1788,49.2572846,-123.12698190000002,0
1789,49.25799179999999,-123.12716950000001,0
1790,49.269446,-123.140707,0
804,49.2681235,-123.10170349999999,0
803,49.2696579,-123.10290570000001,0
794,49.284040600000004,-123.12216059999999,0
811,49.2477393,-123.2306549,0
1811,49.275037899999994,-123.1211163,0
863,49.284876000000004,-123.1246625,0
865,49.2829671,-123.1105765,0
925,49.2762561,-123.1155406,0
926,49.2623234,-123.09127590000001,0
929,49.2828886,-123.12373000000001,0
930,49.28426629999999,-123.11442749999999,0
1754,49.241225899999996,-123.10165390000002,0
934,49.285769,-123.12470490000001,0
935,49.2856601,-123.1210867,0
936,49.2821447,-123.13370570000001,0
937,49.2819972,-123.1334555,0
938,49.2818284,-123.1336764,0
1746,49.29026029999999,-123.13388059999998,0
942,49.272228399999996,-123.1551219,0
943,49.271079,-123.15518999999999,0
946,49.3148698,-123.1010855,0
924,49.2781965,-123.1133537,0
947,49.2630349,-123.10120459999999,0
949,49.263592100000004,-123.1015666,0
950,49.262147600000006,-123.10074340000001,0
951,49.256651,-123.101744,0
952,49.2558002,-123.10155990000001,0
953,49.254976,-123.1008716,0
954,49.255527,-123.10106100000002,0
955,49.2777282,-123.09716259999999,0
1742,49.2642766,-123.17272120000001,0
1741,49.26434129999999,-123.1760619,0
1740,49.2769504,-123.13006809999999,0
960,49.263541,-123.14510039999999,0
961,49.2617269,-123.2555515,0
962,49.2783793,-123.09819409999999,0
1739,49.276753,-123.1305551,0
948,49.262946500000005,-123.0967703,0
923,49.2575621,-123.1148455,0
922,49.288481,-123.139744,0
921,49.2630491,-123.1124051,0
866,49.2541597,-123.1150037,0
867,49.254264899999995,-123.11500490000002,0
875,49.2850854,-123.12592099999999,0
877,49.2805525,-123.1020447,0
879,49.280438200000006,-123.11810349999999,0
1767,49.2755314,-123.1220139,0
884,49.268471500000004,-123.1853203,0
885,49.268440000000005,-123.18219009999999,0
886,49.2682499,-123.1690466,0
887,49.2682482,-123.16877859999998,0
888,49.2682325,-123.16676869999999,0
889,49.2579533,-123.1678222,0
890,49.2487723,-123.1853877,0
891,49.2483679,-123.18504709999999,0
892,49.2465989,-123.1854074,0
893,49.2462956,-123.18539809999999,0
894,49.2454947,-123.18544569999999,0
920,49.26851920000001,-123.17064350000001,0
919,49.2685203,-123.17069450000001,0
1755,49.282833000000004,-123.1154195,0
917,49.2643156,-123.17417040000001,0
913,49.3130233,-123.07714409999998,0
911,49.2786063,-123.11685790000001,0
864,49.2857079,-123.1269916,0
910,49.278625899999994,-123.1160142,0
908,49.2913001,-123.13489579999998,0
905,49.3122034,-123.0789593,0
901,49.266479,-123.13866940000001,0
897,49.2469076,-123.18506289999999,0
896,49.2469916,-123.18506289999999,0
895,49.2466537,-123.18486440000001,0
909,49.2861996,-123.12649760000001,0
1813,49.2568919,-123.0892293,0
1814,49.2640795,-123.1860622,0
1816,49.2637891,-123.1396815,0
611,49.280963,-123.11891570000002,0
613,49.280067700000004,-123.1085277,0
614,49.2796239,-123.1086071,0
615,49.280895799999996,-123.1078452,0
616,49.2807869,-123.1078361,0
617,49.2810728,-123.118583,0
618,49.2774158,-123.1255337,0
620,49.2726099,-123.14914309999999,0
621,49.2724816,-123.15454820000001,0
624,49.260901000000004,-123.139202,0
625,49.233909000000004,-123.15366999999999,0
626,49.2360088,-123.15569520000001,0
627,49.2374525,-123.1556357,0
628,49.2377976,-123.15563859999999,0
610,49.2810223,-123.1189956,0
629,49.234696500000005,-123.1564381,0
631,49.2343745,-123.1615078,0
632,49.234533899999995,-123.161902,0
633,49.2362672,-123.18511380000001,0
634,49.2577685,-123.1857254,0
635,49.2645248,-123.1845754,0
636,49.263661600000006,-123.187105,0
637,49.2638982,-123.2058958,0
638,49.263934000000006,-123.2063879,0
639,49.2636951,-123.2067722,0
640,49.263672,-123.20716000000002,0
641,49.2634614,-123.20891270000001,0
642,49.26371470000001,-123.21084760000001,0
643,49.2637023,-123.2077053,0
644,49.2639253,-123.2073519,0
630,49.234768599999995,-123.16166059999999,0
1905,49.2687186,-123.1109926,0
1906,49.2646355,-123.1150768,0
1907,49.263836,-123.1137936,0
555,49.2662105,-123.2477216,0
557,49.249452000000005,-123.08988059999999,0
558,49.2498662,-123.0898679,0
559,49.24976160000001,-123.08987720000002,0
560,49.249653,-123.0898834,0
561,49.2477372,-123.0903665,0
568,49.288543700000005,-123.1401479,0
1934,49.2705384,-123.14737209999998,0
1933,49.2642078,-123.16862520000001,0
1929,49.3131896,-123.0841436,0
573,49.2302196,-123.09082450000001,0
1927,49.2643482,-123.177229,0
1922,49.2821995,-123.10274340000001,0
1921,49.2629621,-123.09860570000001,0
580,49.229274,-123.090478,0
581,49.2411883,-123.10165420000001,0
582,49.2434136,-123.10118510000001,0
1908,49.2707965,-123.1466888,0
1909,49.270596999999995,-123.1477107,0
1911,49.266093700000006,-123.2430436,0
1912,49.3124756,-123.0777481,0
595,49.2866651,-123.11833999999999,0
1916,49.330856,-123.172252,0
1894,49.2555365,-123.11493759999999,0
592,49.257267600000006,-123.0898844,0
590,49.257389200000006,-123.0909119,0
1917,49.3261888,-123.139149,0
1918,49.3259573,-123.13951170000001,0
585,49.25700820000001,-123.1148128,0
584,49.2458651,-123.10144240000001,0
583,49.244603999999995,-123.10110259999999,0
591,49.257426200000005,-123.0910754,0
1893,49.2554118,-123.11495590000001,0
1892,49.2552645,-123.11494569999999,0
1884,49.2554261,-123.11533870000001,0
717,49.2917752,-123.1383676,0
719,49.2918102,-123.1351892,0
722,49.263403499999995,-123.1872815,0
723,49.2641812,-123.1840524,0
724,49.264051,-123.17505279999999,0
725,49.264052500000005,-123.17482959999998,0
726,49.263736200000004,-123.2101399,0
727,49.2640299,-123.17452140000002,0
728,49.263972100000004,-123.17114779999999,0
729,49.263952200000006,-123.1695223,0
730,49.2639326,-123.16760740000001,0
1461,49.311653899999996,-123.0803449,0
732,49.263221200000004,-123.1252438,0
733,49.2631809,-123.1221438,0
1835,49.2876652,-123.1218959,0
1834,49.2873634,-123.1216746,0
1833,49.287548,-123.1210389,0
1817,49.2814927,-123.1331514,0
1819,49.2786794,-123.1153832,0
762,49.283195299999996,-123.0949154,0
758,49.263711799999996,-123.15468829999999,0
757,49.263645200000006,-123.1534206,0
751,49.2642602,-123.1716944,0
716,49.2820073,-123.12296869999999,0
750,49.2642636,-123.1717479,0
747,49.2838527,-123.11436450000001,0
746,49.2847964,-123.1243067,0
745,49.268476299999996,-123.16712040000002,0
744,49.2777207,-123.1267774,0
743,49.2801081,-123.12511740000001,0
1832,49.2644934,-123.1011624,0
749,49.2642652,-123.1718011,0
965,49.2680554,-123.155833,0
715,49.282596000000005,-123.11195020000001,0
713,49.234140000000004,-123.13994050000001,0
1883,49.319178799999996,-123.07264640000001,0
659,49.2710268,-123.14669690000001,0
1882,49.3190471,-123.07266750000001,0
662,49.2786045,-123.1184591,0
663,49.276480299999996,-123.1148881,0
664,49.290566,-123.1370567,0
1881,49.3200814,-123.0702446,0
1880,49.3123621,-123.0793102,0
1879,49.3119118,-123.07833020000001,0
1878,49.3108347,-123.0800223,0
1877,49.3106852,-123.08019660000001,0
1876,49.310606400000005,-123.08026969999999,0
1875,49.3122227,-123.0771831,0
1873,49.266365,-123.1045845,0
1872,49.2631873,-123.1062067,0
1871,49.2631523,-123.10474270000002,0
1870,49.263094,-123.1168038,0
1838,49.279771000000004,-123.12992690000002,0
1857,49.2482354,-123.1009003,0
1858,49.249089500000004,-123.10140109999999,0
1859,49.2518827,-123.1007604,0
1860,49.2464674,-123.101408,0
1861,49.2478197,-123.1009105,0
1837,49.285585600000005,-123.12380759999999,0
1862,49.247957299999996,-123.1009085,0
1864,49.246432500000004,-123.10102020000001,0
1865,49.258682,-123.10088540000001,0
1866,49.2595807,-123.1008695,0
1867,49.261036,-123.10176940000001,0
1868,49.2637917,-123.10070890000001,0
1869,49.2634465,-123.11649750000001,0
1863,49.24609,-123.1010301,0
1935,49.2563231,-123.18494140000001,0
966,49.2681152,-123.1595834,0
968,49.2680758,-123.1569876,0
1269,49.28337979999999,-123.1164113,0
1580,49.2268328,-123.1288101,0
1579,49.2610518,-123.24822350000001,0
1574,49.2637649,-123.1390412,0
1274,49.2663545,-123.1397685,0
1572,49.263496999999994,-123.125487,0
1278,49.2743433,-123.1232695,0
1279,49.286421000000004,-123.1402621,0
1280,49.279568100000006,-123.1173622,0
1281,49.285798799999995,-123.11535970000001,0
1282,49.283152,-123.1159385,0
1283,49.2780334,-123.1251115,0
1284,49.2785408,-123.1157423,0
1285,49.26948,-123.1072592,0
1268,49.2795281,-123.1237772,0
1286,49.26955,-123.10914340000001,0
1292,49.28656420000001,-123.1228071,0
1565,49.2499831,-123.11517140000001,0
1564,49.283151399999994,-123.10651999999999,0
1297,49.2625064,-123.1012808,0
1298,49.2576896,-123.1014017,0
1299,49.258084999999994,-123.10095009999999,0
1300,49.257968,-123.1009558,0
1301,49.2562828,-123.1010148,0
1302,49.2485116,-123.10128600000002,0
1303,49.2448143,-123.10108600000001,0
1304,49.27494779999999,-123.1217422,0
1305,49.2338606,-123.1399736,0
1307,49.269088599999996,-123.1044784,0
1560,49.2857312,-123.1162364,0
1290,49.326002700000004,-123.0724817,0
1581,49.256966399999996,-123.08929479999999,0
1582,49.2826802,-123.1205496,0
1583,49.2787902,-123.0995388,0
1209,49.3795627,-123.3355132,0
1210,49.379554,-123.3342429,0
1211,49.268555799999994,-123.11863980000001,0
1212,49.379619500000004,-123.3353544,0
1214,49.280319,-123.13158600000001,0
1215,49.2878101,-123.14121920000001,0
1620,49.2786385,-123.11531529999999,0
1619,49.281979799999995,-123.10631740000001,0
1218,49.2840032,-123.12544809999999,0
1219,49.2573934,-123.12697639999999,0
1616,49.3262139,-123.1359438,0
1614,49.2810356,-123.104202,0
1227,49.247359700000004,-123.18539550000001,0
1231,49.2733583,-123.13274879999999,0
1232,49.279985700000005,-123.1303512,0
1237,49.240381400000004,-123.1017449,0
1238,49.2817168,-123.13306200000001,0
1584,49.278695500000005,-123.09954409999999,0
1263,49.3331843,-123.18232820000001,0
1262,49.334925,-123.1828909,0
1261,49.37443270000001,-123.27443590000001,0
1260,49.373970899999996,-123.2744351,0
1248,49.2835451,-123.10273600000001,0
1309,49.2825244,-123.1144591,0
1247,49.2834563,-123.1023773,0
1245,49.283055700000006,-123.10448819999999,0
1244,49.283151000000004,-123.1037577,0
1243,49.272605799999994,-123.1473077,0
1241,49.2813594,-123.132504,0
1240,49.2814332,-123.1326311,0
1239,49.281540500000006,-123.1328119,0
1246,49.2831498,-123.1049771,0
1624,49.28822,-123.12231299999999,0
1311,49.2751643,-123.1127469,0
1557,49.2714049,-123.10595719999999,0
1401,49.3108849,-123.07998219999999,0
1505,49.2493022,-123.1014149,0
1504,49.2570134,-123.10144550000001,0
1503,49.2564696,-123.1005523,0
1498,49.2863393,-123.1277946,0
1424,49.283064,-123.106967,0
1425,49.279098299999994,-123.11770659999999,0
1426,49.2822995,-123.1225128,0
1427,49.285154299999995,-123.1182162,0
1428,49.3101585,-123.08005800000001,0
1429,49.2781123,-123.1263034,0
1430,49.2835359,-123.11434369999999,0
1432,49.2722881,-123.1548112,0
1433,49.272335299999995,-123.15480990000002,0
1395,49.234607000000004,-123.1821906,0
1438,49.2877816,-123.14140159999998,0
1440,49.2655997,-123.12198059999999,0
1441,49.2657222,-123.1223185,0
1443,49.2778449,-123.1276301,0
1445,49.2679504,-123.15072250000001,0
1446,49.274953100000005,-123.11865559999998,0
1447,49.2765799,-123.12557679999999,0
1448,49.2766935,-123.12574380000001,0
1449,49.276801,-123.125897,0
1450,49.276831,-123.126007,0
1451,49.2730963,-123.12119440000001,0
1452,49.311631799999994,-123.0748959,0
1453,49.312053799999994,-123.0743405,0
1454,49.2792951,-123.09789280000001,0
1460,49.2805364,-123.1009549,0
1439,49.2636258,-123.18527379999999,0
1511,49.26339,-123.1370072,0
1393,49.2818976,-123.1187838,0
1392,49.2803076,-123.11792539999999,0
1556,49.269523,-123.10821640000002,0
1326,49.3117439,-123.07907820000001,0
1327,49.2850132,-123.1179138,0
1328,49.2771741,-123.1163459,0
1330,49.2726415,-123.1498173,0
1333,49.3742756,-123.2738287,0
1334,49.37459570000001,-123.27479950000001,0
1335,49.2830756,-123.10838429999998,0
1336,49.2637273,-123.25497920000001,0
1546,49.283491600000005,-123.11937340000001,0
1545,49.283799,-123.1209105,0
1343,49.2872474,-123.1189254,0
1344,49.3253307,-123.0720196,0
1539,49.285939,-123.12657959999999,0
1359,49.2672796,-123.1131132,0
1362,49.263335600000005,-123.11419440000002,0
1363,49.2893842,-123.114425,0
1391,49.2894547,-123.1319368,0
1390,49.26232,-123.08840409999999,0
1512,49.271560799999996,-123.15484740000002,0
1523,49.269559,-123.13998600000001,0
1527,49.276509499999996,-123.12742240000001,0
1528,49.276776399999996,-123.12646289999999,0
1315,49.3251311,-123.12423729999999,0
1372,49.273467499999995,-123.11919180000001,0
1370,49.2630031,-123.13834720000001,0
1369,49.335883200000005,-123.07154799999999,0
1531,49.3264675,-123.1203591,0
1532,49.283942200000006,-123.09983659999999,0
1533,49.279737,-123.12666200000001,0
1534,49.2630984,-123.11769380000001,0
1371,49.2794772,-123.1229565,0
1205,49.281921399999995,-123.1060244,0
1203,49.279293,-123.0974274,0
1625,49.28790479999999,-123.1200971,0
1027,49.2890203,-123.1221386,0
1033,49.2847075,-123.11004009999998,0
1034,49.2827611,-123.10964809999999,0
1045,49.2647119,-123.1861243,0
1051,49.2793266,-123.1007929,0
1053,49.266292299999996,-123.1395508,0
1054,49.270789,-123.147699,0
1057,49.2878856,-123.11849270000002,0
1058,49.285960100000004,-123.12740649999999,0
1059,49.2809013,-123.1322613,0
1060,49.263253000000006,-123.1271262,0
1061,49.2341725,-123.14013909999998,0
1062,49.267835999999996,-123.145875,0
1063,49.27969470000001,-123.0977955,0
1705,49.282483899999995,-123.12362479999999,0
1064,49.2799722,-123.09947849999999,0
1068,49.287430799999996,-123.11490420000001,0
1069,49.373866,-123.27455959999999,0
1070,49.373832,-123.2746014,0
1683,49.2903487,-123.13427759999999,0
1072,49.288622700000005,-123.14002959999999,0
1073,49.288583,-123.1400791,0
1074,49.277701,-123.1256265,0
1075,49.277764000000005,-123.1255337,0
