,lat,lon,timestamp,amenity,name,tags
0,49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,entertainment,The Cambie,"{'toilets:wheelchair': 'no', 'wheelchair': 'limited', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}"
1,49.2659507,-123.2466297,2011-11-19T08:06:36.000-08:00,entertainment,Mahony and Sons,{'wheelchair': 'yes'}
2,49.0557594,-122.1951722,2017-06-22T21:48:35.000-07:00,entertainment,Sumas First Nations Hall,{}
3,49.2684891,-123.258088,2017-03-04T08:41:21.000-08:00,entertainment,Koerner's Pub,"{'opening_hours': 'Mo-Fr 11:30-01:00', 'addr:housenumber': '6371', 'website': 'http://koerners.ca/', 'addr:street': 'Crescent Road', 'phone': '+1-604-827-1443'}"
4,49.2819978,-123.1243463,2019-03-22T02:51:06.000-07:00,entertainment,Scotiabank Theatre Vancouver,"{'addr:housenumber': '900', 'website': 'https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver', 'phone': '+1-604-630-1407', 'addr:street': 'Burrard Street', 'is_in:city': 'Vancouver', 'addr:postcode': 'V6Z 3G5', 'wikidata': 'Q38378292', 'operator': 'Cineplex'}"
5,49.2805037,-123.1068723,2019-12-01T04:03:46.000-08:00,entertainment,Cineplex Odeon International Village Cinemas,"{'addr:housenumber': '88', 'alt_name': 'Tinseltown', 'addr:street': 'West Pender Street', 'level': '2', 'addr:city': 'Vancouver'}"
6,49.1556713,-123.1248972,2017-08-19T05:05:34.000-07:00,entertainment,Legends Pub,{}
7,49.268662,-123.1045109,2019-03-22T02:52:21.000-07:00,entertainment,Faculty Brewing,"{'addr:housenumber': '1830', 'website': 'https://www.facultybrewing.com/', 'shop': 'alcohol', 'phone': '+1-778-819-6794', 'opening_hours': 'Mo-Fr 14:00-23:00; Sa-Su 11:00-23:00', 'outdoor_seating': 'no', 'addr:street': 'Ontario Street', 'addr:postcode': 'V5T 2W6', 'email': 'hola@facultybrewing.com', 'addr:city': 'Vancouver'}"
8,49.2672519,-123.1033949,2018-10-26T20:30:44.000-07:00,entertainment,R & B Ale & Pizza House,"{'opening_hours': 'Su-Tu 11:00-23:00; We-Sa 11:00-00:00', 'website': 'https://www.randbbrewing.com/alehouse', 'phone': '+1-604-336-0275'}"
9,49.2821955,-123.1024011,2019-09-13T13:57:04.000-07:00,entertainment,Back and Forth Bar,"{'note': 'They have ping pong. Not sure about how to tag that', 'addr:housenumber': '303', 'addr:street': 'Columbia Street', 'addr:city': 'Vancouver'}"
10,49.284169,-123.1073434,2019-09-13T13:57:04.000-07:00,entertainment,131 Water Kitchen & Bar,"{'addr:housenumber': '131', 'addr:street': 'Water Street', 'addr:city': 'Vancouver'}"
11,49.2866559,-123.1274985,2016-07-27T18:08:39.000-07:00,entertainment,Shenanigans,{'addr:street': 'Robson Street'}
12,49.2821452,-123.0762115,2019-09-02T22:08:26.000-07:00,entertainment,Callister Tasting Room,"{'addr:housenumber': '1338', 'website': 'http://www.callisterbrewing.com/', 'shop': 'alcohol', 'phone': '+1-604-569-2739', 'opening_hours': 'Mo-Th 14:00-21:00; Fr 14:00-22:00,09:00-18:00; Sa 13:00-22:00; Su 13:00-20:00', 'outdoor_seating': 'no', 'addr:street': 'Franklin Street', 'addr:postcode': 'V5L 1N9', 'email': 'info@callisterbrewing.com', 'addr:city': 'Vancouver'}"
13,49.2833626,-123.0757512,2019-03-22T02:56:22.000-07:00,entertainment,Powell Brewery Tasting Room,"{'opening_hours': 'Mo-Th 14:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00', 'website': 'https://www.powellbeer.com/', 'shop': 'alcohol', 'email': 'tim@powellbeer.com'}"
14,49.2094419,-123.1161616,2018-10-25T14:20:57.000-07:00,entertainment,Dublin Crossing Irish Pub,"{'addr:housenumber': '466', 'website': 'http://dublincrossingvancouver.com/', 'phone': '+1-604-428-8577', 'outdoor_seating': 'yes', 'addr:street': 'SW Marine Drive', 'addr:postcode': 'V5X 0C4', 'addr:city': 'Vancouver'}"
15,49.3127437,-123.0827482,2019-03-19T06:08:10.000-07:00,entertainment,Cineplex Cinemas Esplanade,"{'addr:housenumber': '200', 'website': 'https://www.cineplex.com/Theatre/cineplex-cinemas-esplanade', 'addr:street': 'West Esplanade', 'is_in:city': 'North Vancouver', 'addr:postcode': 'V7M 1A4', 'operator': 'Cineplex'}"
16,49.1622956,-122.6548929,2019-09-23T20:13:22.000-07:00,entertainment,Walnut Grove Pub & Liqour Store,{'name:en': 'Walnut Grove Pub & Liqour Store'}
17,49.2795471,-122.82931,2019-08-15T05:13:39.000-07:00,entertainment,Romer's,"{'addr:housenumber': '7- 101', 'addr:street': 'Morrissey Road'}"
18,49.1654069,-122.6633306,2017-02-22T01:39:22.000-08:00,entertainment,Browns Social House,"{'addr:housenumber': '20159', 'name:en': 'Browns Social House', 'addr:street': '88 Avenue'}"
19,49.2826068,-123.108081,2016-10-09T09:46:32.000-07:00,entertainment,Goldcorp Centre for the Arts,"{'addr:housenumber': '149', 'alt_name': 'Simon Fraser University Goldcorp Centre for the Arts', 'short_name': 'SFU Goldcorp Centre for the Arts', 'addr:street': 'West Hastings Street'}"
20,49.2799912,-123.1164576,2020-03-08T23:06:19.000-07:00,entertainment,The Centre For Performing Arts,"{'addr:province': 'BC', 'addr:housenumber': '777', 'short_name': 'The Centre', 'addr:street': 'Homer Street', 'addr:postcode': 'V6B 2W1', 'wikidata': 'Q38378369', 'addr:city': 'Vancouver'}"
21,49.316484,-122.9533431,2010-04-28T22:40:51.000-07:00,entertainment,Raven Pub,{}
22,49.2785872,-122.8510267,2019-08-09T21:41:43.000-07:00,entertainment,Parkside Brewing,"{'website': 'http://www.theparksidebrewery.com/tasting-room/', 'microbrewery': 'yes', 'shop': 'alcohol', 'phone': '+1-604-492-2731', 'opening_hours': 'Su-Mo 12:00-22:00; Tu-Sa 12:00-23:00', 'outdoor_seating': 'yes', 'email': 'info@theparksidebrewery.com'}"
23,49.227124,-123.0003251,2018-04-21T18:56:30.000-07:00,entertainment,Cupcakes,"{'level': '0', 'name:en': 'Cupcakes'}"
24,49.2272799,-123.0001798,2018-04-21T18:56:31.000-07:00,entertainment,Orange Julius,"{'level': '0', 'name:en': 'Orange Julius'}"
25,49.2262262,-123.0019735,2017-09-03T06:59:17.000-07:00,entertainment,Jugo Juice,"{'level': '1', 'name:en': 'Jugo Juice'}"
26,49.2273214,-123.0002274,2018-04-21T18:56:31.000-07:00,entertainment,Cinnzeo,"{'level': '0', 'name:en': 'Cinnzeo'}"
27,49.2274297,-123.0001335,2018-04-21T18:56:30.000-07:00,entertainment,Menchie's,"{'level': '1', 'name:en': ""Menchie's""}"
28,49.2255829,-122.9983657,2017-09-03T06:59:27.000-07:00,entertainment,Kernels,"{'level': '1', 'name:en': 'Kernels'}"
29,49.2287893,-123.0046579,2017-03-22T04:30:40.000-07:00,entertainment,Eggstatic,"{'addr:housenumber': '1021', 'name:en': 'Eggstatic'}"
30,49.2504797,-122.8951099,2017-03-13T04:11:37.000-07:00,entertainment,Jugo Juice,{'name:en': 'Jugo Juice'}
31,49.2515309,-122.8957313,2017-03-13T04:12:16.000-07:00,entertainment,Big Orange,{'name:en': 'Big Orange'}
32,49.2505677,-122.8949895,2017-03-13T04:13:08.000-07:00,entertainment,Chop & Toss,{'name:en': 'Chop & Toss'}
33,49.2275513,-122.8363525,2017-03-13T04:11:16.000-07:00,entertainment,Fuel Cafe',"{'name:en': ""Fuel Cafe'""}"
34,49.2507042,-122.8961076,2017-03-13T04:15:38.000-07:00,entertainment,Orange Julius,{'name:en': 'Orange Julius'}
35,49.2802068,-123.1068483,2019-12-01T04:03:46.000-08:00,entertainment,Shiny Tea,"{'addr:housenumber': '88', 'name:en': 'Shiny Tea', 'addr:street': 'West Pender Street', 'addr:city': 'Vancouver'}"
36,49.3063936,-123.0115775,2018-10-26T20:30:46.000-07:00,entertainment,Deep Cove Brewers and Distillers Lounge,"{'addr:housenumber': '2270', 'website': 'http://deepcovecraft.com/index_wp.php/lounge/', 'shop': 'alcohol', 'phone': '+1-604-770-1136', 'opening_hours': 'Mo-Th 12:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-22:00', 'outdoor_seating': 'yes', 'addr:street': 'Dollarton Highway', 'addr:postcode': 'V7H 1A8', 'addr:unit': '170', 'email': 'info@deepcovecraft.com', 'addr:city': 'North Vancouver'}"
37,49.2777606,-123.0760415,2019-05-21T18:12:29.000-07:00,entertainment,Off The Rail Tasting Room,"{'website': 'http://offtherailbrewing.com/', 'shop': 'alcohol', 'phone': '+1-604-563-5767', 'opening_hours': 'Su-Th 12:00-20:00; Fr-Sa 12:00-22:00', 'brewery': 'yes', 'email': 'trigger@offtherailbrewing.com'}"
38,49.2774745,-123.0745168,2018-06-22T04:58:26.000-07:00,entertainment,Bomber Tasting Room,"{'opening_hours': 'Mo-Su 12:00-23:00', 'website': 'http://bomberbrewing.com', 'shop': 'alcohol', 'phone': '+1-604-428-7457'}"
39,49.1293757,-123.0952983,2018-10-26T20:30:45.000-07:00,entertainment,Fuggles & Warlock Tasting Room,"{'addr:housenumber': '11220', 'website': 'http://fuggleswarlock.com', 'shop': 'alcohol', 'phone': '+1-604-285-7745', 'wlan': 'free', 'opening_hours': 'Su-We 12:00-19:00; Th-Sa 11:00-00:00', 'addr:street': 'Horseshoe Way', 'addr:postcode': 'V7A 4V5', 'addr:unit': '103', 'email': 'beer@fuggleswarlock.com', 'addr:city': 'Richmond'}"
40,49.2785849,-123.0706042,2018-10-14T19:44:52.000-07:00,entertainment,York Theatre,"{'addr:housenumber': '639', 'website': 'http://yorktheatre.ca/', 'addr:street': 'Commercial Drive', 'addr:postcode': 'V5L 2W2', 'wikidata': 'Q38378460'}"
41,49.2701364,-123.1087347,2019-03-22T02:52:20.000-07:00,entertainment,BMO Theatre Centre,"{'addr:housenumber': '162', 'alt_name': 'Goldcorp Stage at the BMO Theatre Centre', 'website': 'https://artsclub.com/', 'addr:street': 'West 1st Avenue'}"
42,49.2249319,-123.1086853,2019-03-19T06:05:42.000-07:00,entertainment,Studio 58,"{'addr:housenumber': '100', 'website': 'https://langara.ca/studio-58/', 'phone': '+1-604-323-5227', 'name:en': 'Studio 58', 'addr:street': 'West 49th Avenue', 'operator': 'Studio 58'}"
43,49.2037107,-123.1375228,2019-09-13T13:56:59.000-07:00,entertainment,Metro Theatre,"{'addr:housenumber': '1370', 'website': 'https://metrotheatre.com/', 'phone': '+1-604-266-7191', 'addr:street': 'Southwest Marine Drive', 'addr:postcode': 'V6P 5Z9', 'wikidata': 'Q38378154', 'addr:city': 'Vancouver'}"
44,49.0298938,-122.800849,2020-01-30T20:36:08.000-08:00,entertainment,Coast Capital Playhouse,"{'addr:province': 'BC', 'addr:housenumber': '1532', 'alt_name': ""White Rock Players' Club"", 'website': 'https://www.whiterockplayers.ca/', 'phone': '+1-604-536-7535', 'addr:street': 'Johnston Road', 'addr:city': 'White Rock'}"
45,49.2911911,-123.1301625,2016-12-01T08:29:57.000-08:00,entertainment,PAL Studio Theatre,"{'addr:housenumber': '581', 'alt_name': 'Performing Art Lodges Vancouver, Performing Art Lodges Theatre', 'website': 'http://www.palstudiotheatre.com/', 'addr:street': 'Cardero Street', 'phone': '+1-604-255-4313'}"
46,49.2849397,-123.0649633,2019-09-02T22:08:26.000-07:00,entertainment,Princeton Pub,"{'opening_hours': 'Mo-Th,Su 11:00-00:00; Fr,Sa 11:00-01:00', 'addr:housenumber': '120-1901', 'website': 'http://www.princetonpub.com', 'addr:street': 'Dundas Street', 'phone': '+1-604-253-6645'}"
47,49.2841314,-123.1083829,2019-09-02T22:08:26.000-07:00,entertainment,Pourhouse,"{'diet:vegetarian': 'yes', 'addr:housenumber': '162', 'website': 'http://www.pourhousevancouver.com', 'internet_access': 'wlan', 'phone': '+1-604-568-7022', 'opening_hours': 'Mo-Th,Su 17:00-00:00; Fr,Sa 17:00-01:00', 'addr:street': 'Water Street', 'addr:postcode': 'V6B 1B2'}"
48,49.2031688,-122.908271,2016-10-02T21:55:59.000-07:00,entertainment,Judge Begbies,{'name:en': 'Judge Begbies'}
49,49.2017326,-122.9124591,2016-10-12T21:37:46.000-07:00,entertainment,Hops,"{'addr:housenumber': '48', 'name:en': 'Hops', 'addr:street': 'Eighth Street'}"
50,49.1058067,-122.6603499,2019-10-06T22:29:19.000-07:00,entertainment,Gabby's Country Cabaret,"{'name:en': ""Gabby's Country Cabaret""}"
51,49.2756868,-123.1281101,2019-09-18T23:00:49.000-07:00,entertainment,Cecil Bar,"{'addr:housenumber': '1336', 'name:en': 'Cecil Bar', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
52,49.2741305,-123.1241126,2016-10-06T05:23:48.000-07:00,entertainment,Soho,"{'addr:housenumber': '1283', 'addr:street': 'Hamilton Street'}"
